district,avg_price_eur_m2,accessibility_score,normalized_avg_price_eur_m2,normalized_accessibility_score
Innere Stadt,18300,3,1.0,1.0
Leopoldstadt,7600,3,0.183206,1.0
Landstrasse,8200,3,0.229008,1.0
Wieden,9500,3,0.328244,1.0
Margareten,7100,3,0.145038,1.0
Mariahilf,8900,2,0.282443,0.5
Neubau,9300,2,0.312977,0.5
Josefstadt,9800,2,0.351145,0.5
Alsergrund,8700,2,0.267176,0.5
Favoriten,5600,2,0.030534,0.5
Simmering,5200,2,0.0,0.5
Meidling,6100,1,0.068702,0.0
Hietzing,7900,2,0.206107,0.5
Penzing,6500,2,0.099237,0.5
Donaustadt,5900,3,0.053435,1.0
